Ticker ,Name ,Market cap 
3BBLACKBIO,3B Blackbio Dx Limited,#N/A
ABANSENT,Abans Enterprises Limited,#N/A
ABMKNO,ABM Knowledgeware Limited,#N/A
ACSTECH,ACS Technologies Limited,#N/A
AKCAPIT,AK Capital Services Limited,#N/A
AMBALALSA,Ambalal Sarabhai Enterprises Limited,#N/A
ARIHANT,Arihant Foundations & Housing Limited,#N/A
ASHIKA,Ashika Credit Capital Limited,#N/A
ASTAR,Asian Star Company Limited,#N/A
AVAILFC,Available Finance Limited,#N/A
BAJAJST,Bajaj Steel Industries Limited,#N/A
BATLIBOI,Batliboi Limited,#N/A
BEEKAY,Beekay Steel Industries Limited,#N/A
BENGALASM,Bengal & Assam Company Limited,#N/A
BI,Bilcare Limited,#N/A
BIMETAL,Bimetal Bearings Limited,#N/A
BIRLAPREC,Birla Precision Technologies Limited,#N/A
BLACKROSE,Black Rose Inds. Limited,#N/A
BLIL,Balmer Lawrie Investments Limited,#N/A
BNAGROCHEM,BN Agrochem Limited,#N/A
BNALTD,B & A Limited,#N/A
BTTL,Bhilwara Technical Textiles Limited,#N/A
COCKERILL,John Cockerill India Limited,#N/A
COMFINTE,Comfort Intech Limited,#N/A
DAICHI,Dai-Ichi Karkaria Limited,#N/A
DECNGOLD,Deccan Gold Mines Limited,#N/A
DISAQ,Disa India Limited,#N/A
DRAGARWQ,Dr Agarwals Eye Hospital Limited,#N/A
ELANTAS,Elantas Beck India Limited,#N/A
ELCIDIN,EL CID Investments Limited,#N/A
ELITECON,Elitecon International Limited,#N/A
ELPROINTL,Elpro International Limited,#N/A
EMPOWER,Empower India Limited,#N/A
FEDDERSHOL,Fedders Holding Limited,#N/A
FERMENTA,Fermenta Biotech Limited,#N/A
FRONTSP,Frontier Springs Limited,#N/A
GLOTTIS,Glottis Limited,#N/A
GNRL,Gujarat Natural Resources Limited,#N/A
GOODYEAR,Goodyear India Limited,#N/A
GRANDOAK,Grand Oak Canyons Distillery Limited,#N/A
GRAUWEIL,Grauer & Weil India Limited,#N/A
GRAVISSHO,Graviss Hospitality Limited,#N/A
HALDYNGL,Haldyn Glass Limited,#N/A
HAWKINCOOK,Hawkins Cookers Limited,#N/A
HBESD,HB Estate Developers Limited,#N/A
HEALTHX,Health X Platform Limited,#N/A
INDPRUD,Industrial & Prudential Investment Company Limited,#N/A
INVPRECQ,Investment & Precision Castings Limited,#N/A
IWP,The Indian Wood Products Company Limited,#N/A
KAMAHOLD,Kama Holdings Limited,#N/A
KANCHI,Kanchi Karpooram Limited,#N/A
KENNAMET,Kennametal India Limited,#N/A
KIRANVYPAR,Kiran Vyapar Limited,#N/A
KIRLFER,Kirloskar Ferrous Industries Limited,#N/A
KLBRENG-B,Kilburn Engineering Limited,#N/A
KOTIC,Kothari Industrial Corporation Limited,#N/A
KOVAI,Kovai Medical Center & Hospital Limited,#N/A
KPL,Kwality Pharmaceuticals Limited,#N/A
LAHOTIOV,Lahoti Overseas Limited,#N/A
MADHAVIPL,Madhav Infra Projects Limited,#N/A
MAFATIND,Mafatlal Industries Limited,#N/A
MAJESAUT,Majestic Auto Limited,#N/A
MCCHRLS-B,Mac Charles India Limited,#N/A
MENNPIS,Menon Pistons Limited,#N/A
MERCANTILE,Mercantile Ventures Limited,#N/A
METROGLOBL,Metroglobal Limited,#N/A
MMWL,Media Matrix Worldwide Limited,#N/A
NATIONSTD,National Standard (India) Limited,#N/A
NEAGI,Neelamalai Agro Industries Limited,#N/A
NILE,Nile Limited,#N/A
NIRLON,Nirlon Limited,#N/A
NITTAGELA,Nitta Gelatin India Limited,#N/A
NOVARTIND,Novartis India Limited,#N/A
PIONRINV,Pioneer Investcorp Limited,#N/A
PML,Paul Merchants Limited,#N/A
PRADPME,Pradeep Metals Limited,#N/A
PRAVEG,Praveg Limited,#N/A
PREMCO,Premco Global Limited,#N/A
QUINT,Quint Digital Limited,#N/A
RAJPALAYAM,Rajapalayam Mills Limited,#N/A
RRIL,RRIL Limited,#N/A
RSDFIN,RSD Finance Limited,#N/A
SAPPL,Shree Ajit Pulp & Paper Limited,#N/A
SAYAJIHOTL,Sayaji Hotels Limited,#N/A
SCANSTL,Scan Steels Limited,#N/A
SEIL,Shanti Educational Initiatives Limited,#N/A
SHARDUL,Shardul Securities Limited,#N/A
SHBAJRG,Shri Bajrang Alliance Limited,#N/A
SHINDL,Sharat Industries Limited,#N/A
SHRIKRISH,Shri Krishna Devcon Limited,#N/A
SICAGEN,Sicagen India Limited,#N/A
SIKA,Sika Interplant Systems Limited,#N/A
SONAL,Sonal Mercantile Limited,#N/A
SURYALA,Suryalata Spinning Mills Limited,#N/A
TAALTECH,Taal Tech Limited,#N/A
TAMBOLIIN,Tamboli Industries Limited,#N/A
TECHNVISN,TechNVision Ventures Limited,#N/A
THACKER,Thacker & Company Limited,#N/A
THAKDEV,Thakkers Developers Limited,#N/A
TIMEX,Timex Group India Limited,#N/A
TRANSPEK,Transpek Industry Limited,#N/A
ULTRAMAR,Ultramarine & Pigments Limited,#N/A
VELJAN,Veljan Denison Limited,#N/A
WELSPLSOL,Welspun Specialty Solutions Limited,#N/A
WIMPLAST,Wim Plast Limited,#N/A
WPIL,WPIL Limited,#N/A
ZFSTEERING,ZF Steering Gear (India) Limited,#N/A
ZSARACOM,Saraswati Commercial India Limited,#N/A
FISCHER,Fischer Medical Ventures Limited,"2,484.54"
SOTL,Savita Oil Technologies Limited,"2,481.20"
AJMERA,Ajmera Realty & Infra India Limited,"2,459.84"
TIRUMALCHM,Thirumalai Chemicals Limited,"2,459.28"
GIPCL,Gujarat Industries Power Company Limited,"2,450.86"
CAMLINFINE,Camlin Fine Sciences Limited,"2,436.81"
KPEL,K.P. Energy Limited,"2,433.45"
EVEREADY,Eveready Industries India Limited,"2,420.49"
VEEDOL,Veedol Corporation Limited,"2,418.54"
ANTELOPUS,Antelopus Selan Energy Limited,"2,412.14"
UNIPARTS,Uniparts India Limited,"2,403.03"
SIRCA,Sirca Paints India Limited,"2,402.34"
BEPL,Bhansali Engineering Polymers Limited,"2,392.28"
TCPLPACK,TCPL Packaging Limited,"2,388.28"
MMFL,MM Forgings Limited,"2,387.04"
MAYURUNIQ,Mayur Uniquoters Ltd,"2,386.63"
XPROINDIA,Xpro India Limited,"2,372.86"
DIAMONDYD,Prataap Snacks Limited,"2,370.13"
JISLDVREQS,Jain Irrigation Systems Limited,"2,368.57"
JISLJALEQS,Jain Irrigation Systems Limited,"2,368.57"
DPABHUSHAN,D. P. Abhushan Limited,"2,362.80"
RHETAN,Rhetan TMT Limited,"2,361.94"
SAGCEM,Sagar Cements Limited,"2,355.74"
JAYKAY,Jaykay Enterprises Limited,"2,351.68"
HONDAPOWER,Honda India Power Products Limited,"2,342.14"
ALEMBICLTD,Alembic Limited,"2,341.85"
BOMDYEING,Bombay Dyeing & Mfg Company Limited,"2,335.08"
HIKAL,Hikal Limited,"2,333.47"
KCP,KCP Limited,"2,328.96"
RAMCOIND,Ramco Industries Limited,"2,327.35"
MONARCH,Monarch Networth Capital Limited,"2,323.35"
BHARATRAS,Bharat Rasayan Limited,"2,301.52"
HPL,HPL Electric & Power Limited,"2,299.39"
PRABHA,Prabha Energy Limited,"2,271.90"
PENIND,Pennar Industries Limited,"2,262.24"
RAJRATAN,Rajratan Global Wire Limited,"2,261.85"
KERNEX,Kernex Microsystems (India) Limited,"2,259.76"
RML,Rane (Madras) Limited,"2,252.43"
MUFIN,Mufin Green Finance Limited,"2,246.17"
VENKEYS,Venky's (India) Limited,"2,244.02"
CEINSYS,Ceinsys Tech Limited,"2,237.08"
HLEGLAS,HLE Glascoat Limited,"2,228.80"
PANACEABIO,Panacea Biotec Limited,"2,225.13"
ADVAIT,Advait Energy Transitions Limited,"2,212.88"
DIVGIITTS,Divgi Torqtransfer Systems Limited,"2,208.09"
SOLARA,Solara Active Pharma Sciences Limited,"2,186.54"
ARKADE,Arkade Developers Limited,"2,183.40"
SAIPARENT,Sai Parenterals Limited,"2,155.95"
PROTEAN,Protean eGov Technologies Limited,"2,154.93"
BAJEL,Bajel Projects Limited,"2,154.42"
SERVOTECH,Servotech Renewable Power System Limited,"2,145.53"
CAPACITE,Capacit'e Infraprojects Limited,"2,130.67"
NUCLEUS,Nucleus Software Exports Limited,"2,114.19"
PIXTRANS,Pix Transmissions Limited,"2,111.91"
NITCO,Nitco Limited,"2,111.73"
BFUTILITIE,BF Utilities Limited,"2,101.89"
UEL,Ujaas Energy Limited,"2,101.59"
HINDOILEXP,Hindustan Oil Exploration Company Limited,"2,097.38"
KICL,Kalyani Investment Company Limited,"2,089.43"
SCILAL,Shipping Corporation of India Land and Assets Limited,"2,077.46"
TEAMLEASE,Teamlease Services Limited,"2,065.84"
APCOTEXIND,Apcotex Industries Limited,"2,060.32"
SILVERTUC,Silver Touch Technologies Limited,"2,060.12"
TALBROAUTO,Talbros Automotive Components Limited,"2,057.34"
VIMTALABS,Vimta Labs Limited,"2,041.61"
SPAL,S. P. Apparels Limited,"2,038.89"
