Symbol ,Name 
20MICRONS,20 Microns Limited
21STCENMGM,21st Century Management Services Limited
3IINFOLTD,3i Infotech Limited
3PLAND,3P Land Holdings Limited
5PAISA,5Paisa Capital Limited
63MOONS,63 moons technologies limited
A2ZINFRA,A2Z Infra Engineering Limited
AAATECH,AAA Technologies Limited
AAKASH,Aakash Exploration Services Limited
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
AARNAV,Aarnav Fashions Limited
AARON,Aaron Industries Limited
AARTECH,Aartech Solonics Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIPHARM,Aarti Pharmalabs Limited
AARTISURF,Aarti Surfactants Limited
AARVI,Aarvi Encon Limited
ABCOTS,A B Cotspin India Limited
ABINFRA,A B Infrabuild Limited
ABMINTLLTD,ABM International Limited
ACCURACY,Accuracy Shipping Limited
ACEINTEG,Ace Integrated Solutions Limited
ACI,Archean Chemical Industries Limited
ACL,Andhra Cements Limited
ACUTAAS,Acutaas Chemicals Limited
ADFFOODS,ADF Foods Limited
ADL,Archidply Decor Limited
ADOR,Ador Welding Limited
ADROITINFO,Adroit Infotech Limited
ADSL,Allied Digital Services Limited
ADVAIT,Advait Energy Transitions Limited
ADVANCE,Advance Agrolife Limited
ADVENTHTL,Advent Hotels International Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
AEPL,Artemis Electricals and Projects Limited
AEQUS,Aequs Limited
AEROENTER,Aeroflex Enterprises Limited
AEROFLEX,Aeroflex Industries Limited
AERONEU,Aeroflex Neu Limited
AETHER,Aether Industries Limited
AFFORDABLE,Affordable Robotic & Automation Limited
AFIL,Akme Fintrade (India) Limited
AFSL,Abans Financial Services Limited
AGARIND,Agarwal Industrial Corporation Limited
AGI,AGI Greenpac Limited
AGIIL,Agi Infra Limited
AGRITECH,Agri-Tech (India) Limited
AGROPHOS,Agro Phos India Limited
AHCL,Anlon Healthcare Limited
AHLADA,Ahlada Engineers Limited
AHLEAST,Asian Hotels (East) Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AHLWEST,Asian Hotels (West) Limited
AIRAN,Airan Limited
AIROLAM,Airo Lam limited
AJAXENGG,Ajax Engineering Limited
AJMERA,Ajmera Realty & Infra India Limited
AJOONI,Ajooni Biotech Limited
AKASH,Akash Infra-Projects Limited
AKG,Akg Exim Limited
AKI,AKI India Limited
AKSHAR,Akshar Spintex Limited
AKSHARCHEM,AksharChem India Limited
AKSHOPTFBR,Aksh Optifibre Limited
ALANKIT,Alankit Limited
ALBERTDAVD,Albert David Limited
ALEMBICLTD,Alembic Limited
ALGOQUANT,Algoquant Fintech Limited
ALICON,Alicon Castalloy Limited
ALIVUS,Alivus Life Sciences Limited
