Symbol,Name,Result Date,Is Active
SHUKRAPHAR,SHUKRAPHAR,2026-05-07,False
VIVANZA,VIVANZA,2026-05-07,False
ACML,ACML,2026-05-08,False
AMPVOLTS,AMPVOLTS,2026-05-08,False
ANL,ANL,2026-05-08,False
APOLLOFI,APOLLOFI,2026-05-08,False
ARAVALIS,ARAVALIS,2026-05-08,False
CSL,CSL,2026-05-08,False
DAPS,DAPS,2026-05-08,False
MINAXI,MINAXI,2026-05-08,False
MODRNSH,MODRNSH,2026-05-08,False
MONIKA,MONIKA,2026-05-08,False
OMEGAIN,OMEGAIN,2026-05-08,False
PARMCOS-B,PARMCOS-B,2026-05-08,False
PARMESHWAR,PARMESHWAR,2026-05-08,False
PRERINFRA,PRERINFRA,2026-05-08,False
PURITY,PURITY,2026-05-08,False
REETECH,REETECH,2026-05-08,False
SUERYAAKNI,SUERYAAKNI,2026-05-08,False
TPINDIA,TPINDIA,2026-05-08,False
VIVANTA,VIVANTA,2026-05-08,False
VRFILMS,VRFILMS,2026-05-08,False
ASMTEC,ASMTEC,2026-05-09,False
CILSEC,CILSEC,2026-05-09,False
DMR,DMR,2026-05-09,False
EFORU,EFORU,2026-05-09,False
EVEXIA,EVEXIA,2026-05-09,False
GALADA,GALADA,2026-05-09,False
HVL,HVL,2026-05-09,False
NATURAL,NATURAL,2026-05-09,False
OSCARGLO,OSCARGLO,2026-05-09,False
POPULARES,POPULARES,2026-05-09,False
SKPSEC,SKPSEC,2026-05-09,False
SOLIMAC,SOLIMAC,2026-05-09,False
WEPSOLN,WEPSOLN,2026-05-09,False
YAANENT,YAANENT,2026-05-09,False
ZPRBHSTE,ZPRBHSTE,2026-05-09,False
ADMANUM,ADMANUM,2026-05-11,False
AERPACE,AERPACE,2026-05-11,False
ASARFI,ASARFI,2026-05-11,False
ATVOENT,ATVOENT,2026-05-11,False
CAPFIN,CAPFIN,2026-05-11,False
EXPOEAPL,EXPOEAPL,2026-05-11,False
GRAVITY,GRAVITY,2026-05-11,False
GUJWIND,GUJWIND,2026-05-11,False
INDTONER,INDTONER,2026-05-11,False
JATTAINDUS,JATTAINDUS,2026-05-11,False
KIZI,KIZI,2026-05-11,False
SHANMUGA,SHANMUGA,2026-05-11,False
SPCAPIT,SPCAPIT,2026-05-11,False
SVS,SVS,2026-05-11,False
USGTECH,USGTECH,2026-05-11,False
VERTEX,VERTEX,2026-05-11,False
A1L,A1L,2026-05-12,False
ABVL,ABVL,2026-05-12,False
AEL,AEL,2026-05-12,False
ASUTENT,ASUTENT,2026-05-12,False
BENGALS,BENGALS,2026-05-12,False
BRIGHTBR,BRIGHTBR,2026-05-12,False
DUTRON,DUTRON,2026-05-12,False
EMMESSA,EMMESSA,2026-05-12,False
ENKEIWHEL,ENKEIWHEL,2026-05-12,False
EVERFIN,EVERFIN,2026-05-12,False
GARWAMAR,GARWAMAR,2026-05-12,False
GUJARATPOLY,GUJARATPOLY,2026-05-12,False
HIGHENE,HIGHENE,2026-05-12,False
HINDMILL,HINDMILL,2026-05-12,False
ICL,ICL,2026-05-12,False
LOGICA,LOGICA,2026-05-12,False
MUKATPIP,MUKATPIP,2026-05-12,False
PURETROP,PURETROP,2026-05-12,False
RADIXIND,RADIXIND,2026-05-12,False
SACHEMT,SACHEMT,2026-05-12,False
SOLIDSTON,SOLIDSTON,2026-05-12,False
TANAA,TANAA,2026-05-12,False
TRESCON,TRESCON,2026-05-12,False
TRUSTEDGE,TRUSTEDGE,2026-05-12,False
BOMBPOT,BOMBPOT,2026-05-13,False
JETMALL,JETMALL,2026-05-13,False
JSLINDL,JSLINDL,2026-05-13,False
LOYAL,LOYAL,2026-05-13,False
NPFL,NPFL,2026-05-13,False
PANTH,PANTH,2026-05-13,False
PERFEPA,PERFEPA,2026-05-13,False
PERMAGN,PERMAGN,2026-05-13,False
PROGREXV,PROGREXV,2026-05-13,False
SMRUTHIORG,SMRUTHIORG,2026-05-13,False
SUNSHIEL,SUNSHIEL,2026-05-13,False
SW1,SW1,2026-05-13,False
TIRUFIN,TIRUFIN,2026-05-13,False
YASHHV,YASHHV,2026-05-13,False
ZARDIINV,ZARDIINV,2026-05-13,False
ABHICAP,ABHICAP,2026-05-14,False
ASHISHPO,ASHISHPO,2026-05-14,False
BIOGEN,BIOGEN,2026-05-14,False
BNRSEC,BNRSEC,2026-05-14,False
FERVENTSYN,FERVENTSYN,2026-05-14,False
KUNSTOFF,KUNSTOFF,2026-05-14,False
MONGIPA,MONGIPA,2026-05-14,False
NICCOPAR,NICCOPAR,2026-05-14,False
OMEAG,OMEAG,2026-05-14,False
RESONANCE,RESONANCE,2026-05-14,False
SANJIVIN,SANJIVIN,2026-05-14,False
SHARP,SHARP,2026-05-14,False
SHREEGANES,SHREEGANES,2026-05-14,False
VENMAX,VENMAX,2026-05-14,False
WALCHPF,WALCHPF,2026-05-14,False
WINSOMTX,WINSOMTX,2026-05-14,False
ERPSOFT,ERPSOFT,2026-05-15,False
HOCL,HOCL,2026-05-15,False
INDOCITY,INDOCITY,2026-05-15,False
KASHYAP,KASHYAP,2026-05-15,False
LABELKRAFT,LABELKRAFT,2026-05-15,False
LUXURY,LUXURY,2026-05-15,False
OLATECH,OLATECH,2026-05-15,False
ROLCOEN,ROLCOEN,2026-05-15,False
SAICOM,SAICOM,2026-05-15,False
SEKURITIND,SEKURITIND,2026-05-15,False
SRIKPRIND,SRIKPRIND,2026-05-15,False
YUNIKM,YUNIKM,2026-05-15,False
KRIFILIND,KRIFILIND,2026-05-16,False
KRISHNA,KRISHNA,2026-05-16,False
RISHIROOP,RISHIROOP,2026-05-16,False
SYTIXSE,SYTIXSE,2026-05-16,False
GVTD,GVTD,2026-05-18,False
LAKSHMIMIL,LAKSHMIMIL,2026-05-18,False
PHOSPHATE,PHOSPHATE,2026-05-18,False
PYXISFIN,PYXISFIN,2026-05-18,False
UNJHAFOR,UNJHAFOR,2026-05-18,False
