symbol,name
AUBANK,AU Small Finance Bank
AXISBANK,Axis Bank
BANDHANBNK,Bandhan Bank
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
CANARABANK,Canara Bank
CENTRALBNK,Central Bank of India
CSBBANK,CSB Bank
DCBBANK,DCB Bank
EQUITASBNK,Equitas Small Finance Bank
ESAFSFB,ESAF Small Finance Bank
FEDERALBNK,The Federal Bank
HDFCBANK,HDFC Bank
ICICIBANK,ICICI Bank
IDFCFIRSTB,IDFC First Bank
INDUSINDBK,IndusInd Bank
IOB,Indian Overseas Bank
JKBANK,Jammu and Kashmir Bank
KARURVYSYA,Karur Vysya Bank
KOTAKBANK,Kotak Mahindra Bank
MAHABANK,Bank of Maharashtra
PNB,Punjab National Bank
RBLBANK,RBL Bank
SBIN,State Bank of India
SOUTHBANK,South Indian Bank
SURYODAY,Suryoday Small Finance Bank
TMVFINANCE,Tamilnad Mercantile Bank
UCOBANK,UCO Bank
UNIONBANK,Union Bank of India
UTKARSHBNK,Utkarsh Small Finance Bank
YESBANK,Yes Bank
