symbol,name
NATIONALUM,National Aluminium Co Ltd
SIEMENS,Siemens Ltd
HINDZINC,Hindustan Zinc Ltd
OIL,Oil India Ltd
ASHOKLEY,Ashok Leyland Ltd
COFORGE,Coforge Ltd
PETRONET,Petronet LNG Ltd
ASIANPAINT,Asian Paints Ltd
LICHSGFIN,LIC Housing Finance Ltd
BHEL,Bharat Heavy Electricals Ltd
NHPC,NHPC Ltd
ABB,ABB India Ltd
MAZDOCK,Mazagon Dock Shipbuilders Ltd
INDUSTOWER,Indus Towers Ltd
AUBANK,AU Small Finance Bank Ltd
ONGC,Oil and Natural Gas Corporation Ltd
HCLTECH,HCL Technologies Ltd
INDIANB,Indian Bank
VEDL,Vedanta Ltd
YESBANK,Yes Bank Ltd
BIOCON,Biocon Ltd
BEL,Bharat Electronics Ltd
ICICIPRULI,Icici Prudential Life Insurance Comp Ltd
IOC,Indian Oil Corporation Ltd
MPHASIS,Mphasis Ltd
BANKBARODA,Bank of Baroda Ltd
ETERNAL,Eternal Ltd
LTM,LTM Ltd
KPITTECH,KPIT Technologies Ltd
UNIONBANK,Union Bank of India Ltd
CUMMINSIND,Cummins India Ltd
DRREDDY,Dr Reddy's Laboratories Ltd
CANBK,Canara Bank Ltd
TECHM,Tech Mahindra Ltd
IIFL,IIFL Finance Ltd
CIPLA,Cipla Ltd
DABUR,Dabur India Ltd
TCS,Tata Consultancy Services Ltd
SONACOMS,Sona Blw Precision Forgings Ltd
OFSS,Oracle Financial Services Software Ltd
RELIANCE,Reliance Industries Ltd
JSWSTEEL,JSW Steel Ltd
SHREECEM,Shree Cement Ltd
SBIN,State Bank of India
GAIL,Gail (India) Ltd
TRENT,Trent Ltd
COLPAL,Colgate-Palmolive (India) Ltd
FEDERALBNK,Federal Bank Ltd
PHOENIXLTD,Phoenix Mills Ltd
WIPRO,Wipro Ltd
ALKEM,Alkem Laboratories Ltd
PNB,Punjab National Bank
INDUSINDBK,Indusind Bank Ltd
BPCL,Bharat Petroleum Corporation Ltd
SWIGGY,Swiggy Ltd
SYNGENE,Syngene International Ltd
SAMMAANCAP,Sammaan Capital Ltd
TATAELXSI,Tata Elxsi Ltd
LT,Larsen and Toubro Ltd
VOLTAS,Voltas Ltd
HAL,Hindustan Aeronautics Ltd
POLYCAB,Polycab India Ltd
PNBHOUSING,PNB Housing Finance Ltd.
INFY,Infosys Ltd
DMART,Avenue Supermarts Ltd
DIVISLAB,Divi's Laboratories Ltd
ABCAPITAL,Aditya Birla Capital Ltd
BHARATFORG,Bharat Forge Ltd
PERSISTENT,Persistent Systems Ltd
POLICYBZR,PB Fintech Ltd
HAVELLS,Havells India Ltd
IDFCFIRSTB,IDFC First Bank Ltd
EICHERMOT,Eicher Motors Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd Fully Paid Ord. Shrs
LUPIN,Lupin Ltd
JINDALSTEL,Jindal Steel Ltd
DIXON,Dixon Technologies (India) Ltd
GRASIM,Grasim Industries Ltd
MFSL,Max Financial Services Ltd
BDL,Bharat Dynamics Ltd
KFINTECH,Kfin Technologies Ltd
DALBHARAT,Dalmia Bharat Ltd
SBILIFE,Sbi Life Insurance Company Ltd
HINDPETRO,Hindustan Petroleum Corp Ltd
MARICO,Marico Ltd
PAYTM,One 97 Communications Ltd
SRF,SRF Ltd
TVSMOTOR,TVS Motor Company Ltd
BANDHANBNK,Bandhan Bank Ltd
BANKINDIA,Bank of India Ltd
PIDILITIND,Pidilite Industries Ltd
