symbol,name
AAVAS,Aavas Financiers
ABCAPITAL,Aditya Birla Capital
BAJFINANCE,Bajaj Finance
BAJAJFINSV,Bajaj Finserv
CANFINHOME,Can Fin Homes
CHOLAFIN,Cholamandalam Investment and Finance
CREDITACC,CreditAccess Grameen
FIVESTAR,Five-Star Business Finance
HDFCAMC,HDFC Asset Management Company
HOMEFIRST,Home First Finance Company
L&TFH,L&T Finance
LICHOUSING,LIC Housing Finance
M&MFIN,Mahindra and Mahindra Financial Services
MANAPPURAM,Manappuram Finance
MICRODYNAMICS,Micro Finance
MOTHERSON,Samvardhana Motherson International
MUTHOOTFIN,Muthoot Finance
PNBHOUSING,PNB Housing Finance
PFC,Power Finance Corporation
RECLTD,REC
SBICARD,SBI Cards and Payment Services
SHRIRAMFIN,Shriram Finance
SUNDARMFIN,Sundaram Finance
UGROCAP,UGRO Capital
