symbol,name
ADANIENT,Adani Enterprises
ADANIPORTS,Adani Ports and Special Economic Zone
APOLLOHOSP,Apollo Hospitals Enterprise
ASIANPAINT,Asian Paints
AXISBANK,Axis Bank
BAJAJ-AUTO,Bajaj Auto
BAJFINANCE,Bajaj Finance
BAJAJFINSV,Bajaj Finserv
BEL,Bharat Electronics
BPCL,Bharat Petroleum Corporation
BHARTIARTL,Bharti Airtel
BRITANNIA,Britannia Industries
CIPLA,Cipla
COALINDIA,Coal India
DIVISLAB,Divi's Laboratories
DRREDDY,Dr. Reddy's Laboratories
EICHERMOT,Eicher Motors
GRASIM,Grasim Industries
HCLTECH,HCL Technologies
HDFCBANK,HDFC Bank
HDFCLIFE,HDFC Life Insurance
HEROMOTOCO,Hero MotoCorp
HINDALCO,Hindalco Industries
HINDUNILVR,Hindustan Unilever
ICICIBANK,ICICI Bank
INDUSINDBK,IndusInd Bank
INFY,Infosys
ITC,ITC
JSWSTEEL,JSW Steel
KOTAKBANK,Kotak Mahindra Bank
LT,Larsen and Toubro
LTIM,LTIMindtree
M&M,Mahindra and Mahindra
MARUTI,Maruti Suzuki India
NESTLEIND,Nestle India
NTPC,NTPC
ONGC,Oil and Natural Gas Corporation
POWERGRID,Power Grid Corporation of India
RELIANCE,Reliance Industries
SBILIFE,SBI Life Insurance Company
SHRIRAMFIN,Shriram Finance
SBIN,State Bank of India
SUNPHARMA,Sun Pharmaceutical Industries
TATACONSUM,Tata Consumer Products
TATAMOTORS,Tata Motors
TATASTEEL,Tata Steel
TCS,Tata Consultancy Services
TECHM,Tech Mahindra
TITAN,Titan Company
ULTRACEMCO,UltraTech Cement
WIPRO,Wipro
ZOMATO,Zomato
