symbol,name
SUNPHARMA,Sun Pharmaceutical Industries Ltd
MAXHEALTH,Max Healthcare Institute Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd
LUPIN,Lupin Ltd
CIPLA,Cipla Ltd
DRREDDY,Dr Reddy's Laboratories Ltd
DIVISLAB,Divi's Laboratories Ltd
LAURUSLABS,Laurus Labs Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
GLENMARK,Glenmark Pharmaceuticals Ltd
AUROPHARMA,Aurobindo Pharma Ltd
SYNGENE,Syngene International Ltd
BIOCON,Biocon Ltd
MANKIND,Mankind Pharma Ltd
FORTIS,Fortis Healthcare Ltd
ZYDUSLIFE,Zydus Lifesciences Ltd
ALKEM,Alkem Laboratories Ltd
PPLPHARMA,Piramal Pharma Ltd
ABBOTINDIA,Abbott India Ltd
IPCALAB,IPCA Laboratories Ltd
