symbol,name
ABBOTINDIA,Abbott India
AJANTPHARM,Ajanta Pharmaceuticals
ALKEM,Alkem Laboratories
APOLLOHOSP,Apollo Hospitals Enterprise
AUROPHARMA,Aurobindo Pharma
BIOCON,Biocon
CIPLA,Cipla
DIVISLAB,Divi's Laboratories
DRREDDY,Dr. Reddy's Laboratories
GLENMARK,Glenmark Pharmaceuticals
GRANULES,Granules India
IPCALAB,Ipca Laboratories
JUBLPHARMA,Jubilant Pharmova
LALPATHLAB,Dr. Lal PathLabs
LAURUSLABS,Laurus Labs
LUPIN,Lupin
METROPOLIS,Metropolis Healthcare
NATCOPHARM,Natco Pharma
PFIZER,Pfizer India
SANOFI,Sanofi India
STAR,Star Health and Allied Insurance
SUNPHARMA,Sun Pharmaceutical Industries
THYROCARE,Thyrocare Technologies
TORNTPHARM,Torrent Pharmaceuticals
ZYDUSLIFE,Zydus Lifesciences
